Date,PnL
2009-01-02,-456.42
2009-01-04,-376.48
2009-01-05,1686.36
2009-01-06,4074.11
2009-01-07,2539.52
2009-01-08,2186.72
2009-01-09,2827.57
2009-01-11,2725.38
2009-01-12,2256.70
2009-01-13,2250.68
2009-01-14,1897.58
2009-01-15,2845.45
2009-01-16,1797.87
2009-01-18,2159.58
2009-01-19,1552.98
2009-01-20,2566.56
2009-01-21,2412.62
2009-01-22,3195.07
2009-01-23,5056.63
2009-01-25,4834.26
2009-01-26,4448.94
2009-01-27,4709.55
2009-01-28,4942.21
2009-01-29,5101.26
2009-01-30,5491.69
2009-02-01,5398.34
2009-02-02,4731.15
2009-02-03,4396.62
2009-02-04,5694.11
2009-02-05,5810.68
2009-02-06,7153.84
2009-02-08,7129.78
2009-02-09,7793.27
2009-02-10,6116.06
2009-02-11,5820.64
2009-02-12,6421.35
2009-02-13,6870.33
2009-02-15,6436.26
2009-02-16,6148.45
2009-02-17,6691.74
2009-02-18,7128.70
2009-02-19,6268.59
2009-02-20,7466.18
2009-02-22,7363.69
2009-02-23,8192.12
2009-02-24,7933.91
2009-02-25,8486.75
2009-02-26,8249.40
2009-02-27,8623.16
2009-03-01,8395.20
2009-03-02,7677.10
2009-03-03,7947.17
2009-03-04,8490.40
2009-03-05,9406.28
2009-03-06,8307.74
2009-03-08,8288.40
2009-03-09,6961.73
2009-03-10,5804.86
2009-03-11,5744.79
2009-03-12,5774.61
2009-03-13,6198.33
2009-03-15,6194.99
2009-03-16,6118.83
2009-03-17,6568.07
2009-03-18,6884.52
2009-03-19,6282.22
2009-03-20,7042.74
2009-03-22,7062.65
2009-03-23,8479.24
2009-03-24,8829.54
2009-03-25,9049.46
2009-03-26,8953.12
2009-03-27,10818.18
2009-03-29,10818.18
2009-03-30,11374.40
2009-03-31,11493.81
2009-04-01,11612.28
2009-04-02,11103.85
2009-04-03,10787.90
2009-04-05,10787.90
2009-04-06,10997.87
2009-04-07,11618.58
2009-04-08,11642.25
2009-04-09,11839.90
2009-04-10,12037.56
2009-04-12,12037.56
2009-04-13,11779.35
2009-04-14,12399.79
2009-04-15,13251.47
2009-04-16,12760.30
2009-04-17,13057.14
2009-04-19,13064.23
2009-04-20,12723.08
2009-04-21,12515.51
2009-04-22,12513.46
2009-04-23,13497.01
2009-04-24,13236.00
2009-04-26,13236.00
2009-04-27,13539.24
2009-04-28,13906.92
2009-04-29,14047.03
2009-04-30,15401.47
2009-05-01,15778.64
2009-05-03,15778.64
2009-05-04,16246.14
2009-05-05,16442.95
2009-05-06,16567.71
2009-05-07,16177.39
2009-05-08,16539.33
2009-05-10,16539.33
2009-05-11,16440.53
2009-05-12,16260.17
2009-05-13,16188.81
2009-05-14,16526.25
2009-05-15,16090.90
2009-05-17,16096.96
2009-05-18,16617.44
2009-05-19,16786.86
2009-05-20,16534.74
2009-05-21,16780.67
2009-05-22,16934.78
2009-05-24,16934.78
2009-05-25,17158.13
2009-05-26,17413.50
2009-05-27,17500.58
2009-05-28,17433.38
2009-05-29,17093.82
2009-05-31,17093.82
2009-06-01,17376.64
2009-06-02,17143.47
2009-06-03,17185.60
2009-06-04,17430.80
2009-06-05,18315.01
2009-06-07,18315.01
2009-06-08,18475.31
2009-06-09,18328.20
2009-06-10,18211.62
2009-06-11,18755.69
2009-06-12,19677.23
2009-06-14,19665.19
2009-06-15,19250.81
2009-06-16,19451.24
2009-06-17,19874.65
2009-06-18,20190.29
2009-06-19,20838.58
2009-06-21,20828.03
2009-06-22,20705.54
2009-06-23,20423.33
2009-06-24,20576.09
2009-06-25,21243.24
2009-06-26,21154.82
2009-06-28,21146.30
2009-06-29,21332.41
2009-06-30,21586.40
2009-07-01,20810.55
2009-07-02,20988.88
2009-07-03,20889.22
2009-07-05,20884.82
2009-07-06,21391.52
2009-07-07,21110.92
2009-07-08,21105.82
2009-07-09,20798.86
2009-07-10,21185.05
2009-07-12,21185.05
2009-07-13,21344.68
2009-07-14,21331.54
2009-07-15,21070.33
2009-07-16,21066.46
2009-07-17,21471.76
2009-07-19,21459.11
2009-07-20,21495.95
2009-07-21,21420.96
2009-07-22,21548.52
2009-07-23,21294.80
2009-07-24,21268.77
2009-07-26,21264.22
2009-07-27,21285.04
2009-07-28,21790.22
2009-07-29,22079.70
2009-07-30,22347.39
2009-07-31,22826.75
2009-08-02,22826.75
2009-08-03,22588.21
2009-08-04,22274.16
2009-08-05,22389.26
2009-08-06,22612.69
2009-08-07,23347.83
2009-08-09,23354.18
2009-08-10,23130.56
2009-08-11,22926.99
2009-08-12,23045.66
2009-08-13,22882.39
2009-08-14,22728.37
2009-08-16,22735.05
2009-08-17,23010.06
2009-08-18,23310.10
2009-08-19,23027.62
2009-08-20,23075.95
2009-08-21,23263.92
2009-08-23,23269.70
2009-08-24,23126.12
2009-08-25,22745.73
2009-08-26,23040.03
2009-08-27,23786.63
2009-08-28,23743.10
2009-08-30,23743.10
2009-08-31,23671.32
2009-09-01,23449.62
2009-09-02,23388.88
2009-09-03,23270.79
2009-09-04,24079.71
2009-09-06,24079.71
2009-09-07,24171.03
2009-09-08,23200.75
2009-09-09,22774.34
