"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,8.07
"EUR/USD","on_hour",10,15,8.46
"EUR/USD","on_hour",10,16,6.42
"EUR/USD","on_hour",10,17,4.92
"EUR/USD","on_hour",10,18,6.41
"EUR/USD","on_hour",10,19,3.19
"EUR/USD","on_hour",10,20,1.42
"EUR/USD","on_hour",11,14,6.58
"EUR/USD","on_hour",11,15,6.8
"EUR/USD","on_hour",11,16,4.65
"EUR/USD","on_hour",11,17,3.1
"EUR/USD","on_hour",11,18,4.46
"EUR/USD","on_hour",11,19,1.21
"EUR/USD","on_hour",11,20,-0.62
"EUR/USD","on_hour",12,14,5.87
"EUR/USD","on_hour",12,15,5.95
"EUR/USD","on_hour",12,16,3.83
"EUR/USD","on_hour",12,17,2.33
"EUR/USD","on_hour",12,18,3.57
"EUR/USD","on_hour",12,19,0.48
"EUR/USD","on_hour",12,20,-1.26
"EUR/USD","on_hour",6,14,10.3
"EUR/USD","on_hour",6,15,11.4
"EUR/USD","on_hour",6,16,9.37
"EUR/USD","on_hour",6,17,7.79
"EUR/USD","on_hour",6,18,9.78
"EUR/USD","on_hour",6,19,6.32
"EUR/USD","on_hour",6,20,4.55
"EUR/USD","on_hour",7,14,9.96
"EUR/USD","on_hour",7,15,10.99
"EUR/USD","on_hour",7,16,8.96
"EUR/USD","on_hour",7,17,7.4
"EUR/USD","on_hour",7,18,9.32
"EUR/USD","on_hour",7,19,5.85
"EUR/USD","on_hour",7,20,4.07
"EUR/USD","on_hour",8,14,8.83
"EUR/USD","on_hour",8,15,9.57
"EUR/USD","on_hour",8,16,7.38
"EUR/USD","on_hour",8,17,5.76
"EUR/USD","on_hour",8,18,7.51
"EUR/USD","on_hour",8,19,3.89
"EUR/USD","on_hour",8,20,1.87
"EUR/USD","on_hour",9,14,8.6
"EUR/USD","on_hour",9,15,9.09
"EUR/USD","on_hour",9,16,6.92
"EUR/USD","on_hour",9,17,5.35
"EUR/USD","on_hour",9,18,6.94
"EUR/USD","on_hour",9,19,3.58
"EUR/USD","on_hour",9,20,1.69
"EUR/GBP","on_hour",10,14,2.16
"EUR/GBP","on_hour",10,15,1.27
"EUR/GBP","on_hour",10,16,-2.1
"EUR/GBP","on_hour",10,17,0.15
"EUR/GBP","on_hour",10,18,-0.11
"EUR/GBP","on_hour",10,19,-0.2
"EUR/GBP","on_hour",10,20,0.1
"EUR/GBP","on_hour",11,14,1.1
"EUR/GBP","on_hour",11,15,0.15
"EUR/GBP","on_hour",11,16,-3.14
"EUR/GBP","on_hour",11,17,-1.05
"EUR/GBP","on_hour",11,18,-1.33
"EUR/GBP","on_hour",11,19,-1.43
"EUR/GBP","on_hour",11,20,-1.18
"EUR/GBP","on_hour",12,14,0.86
"EUR/GBP","on_hour",12,15,-0.08
"EUR/GBP","on_hour",12,16,-3.11
"EUR/GBP","on_hour",12,17,-1.19
"EUR/GBP","on_hour",12,18,-1.45
"EUR/GBP","on_hour",12,19,-1.53
"EUR/GBP","on_hour",12,20,-1.31
"EUR/GBP","on_hour",6,14,3.92
"EUR/GBP","on_hour",6,15,3.19
"EUR/GBP","on_hour",6,16,-0.13
"EUR/GBP","on_hour",6,17,2.3
"EUR/GBP","on_hour",6,18,2.11
"EUR/GBP","on_hour",6,19,2.06
"EUR/GBP","on_hour",6,20,2.45
"EUR/GBP","on_hour",7,14,3.47
"EUR/GBP","on_hour",7,15,2.7
"EUR/GBP","on_hour",7,16,-0.79
"EUR/GBP","on_hour",7,17,1.72
"EUR/GBP","on_hour",7,18,1.51
"EUR/GBP","on_hour",7,19,1.45
"EUR/GBP","on_hour",7,20,1.85
"EUR/GBP","on_hour",8,14,2.69
"EUR/GBP","on_hour",8,15,1.8
"EUR/GBP","on_hour",8,16,-2.14
"EUR/GBP","on_hour",8,17,0.58
"EUR/GBP","on_hour",8,18,0.29
"EUR/GBP","on_hour",8,19,0.18
"EUR/GBP","on_hour",8,20,0.58
"EUR/GBP","on_hour",9,14,3.97
"EUR/GBP","on_hour",9,15,3.21
"EUR/GBP","on_hour",9,16,-0.23
"EUR/GBP","on_hour",9,17,2.34
"EUR/GBP","on_hour",9,18,2.15
"EUR/GBP","on_hour",9,19,2.11
"EUR/GBP","on_hour",9,20,2.54
"EUR/AUD","on_hour",10,14,4.95
"EUR/AUD","on_hour",10,15,3.02
"EUR/AUD","on_hour",10,16,0.38
"EUR/AUD","on_hour",10,17,0.13
"EUR/AUD","on_hour",10,18,0.73
"EUR/AUD","on_hour",10,19,0.32
"EUR/AUD","on_hour",10,20,0.02
"EUR/AUD","on_hour",11,14,3.61
"EUR/AUD","on_hour",11,15,1.61
"EUR/AUD","on_hour",11,16,-1.02
"EUR/AUD","on_hour",11,17,-1.3
"EUR/AUD","on_hour",11,18,-0.74
