"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,4.79
"EUR/USD","on_hour",10,15,4.27
"EUR/USD","on_hour",10,16,4.64
"EUR/USD","on_hour",10,17,6.39
"EUR/USD","on_hour",10,18,4.6
"EUR/USD","on_hour",10,19,3.67
"EUR/USD","on_hour",10,20,2.29
"EUR/USD","on_hour",11,14,4.41
"EUR/USD","on_hour",11,15,3.88
"EUR/USD","on_hour",11,16,4.18
"EUR/USD","on_hour",11,17,5.78
"EUR/USD","on_hour",11,18,4.08
"EUR/USD","on_hour",11,19,3.17
"EUR/USD","on_hour",11,20,1.85
"EUR/USD","on_hour",12,14,3.75
"EUR/USD","on_hour",12,15,3.21
"EUR/USD","on_hour",12,16,3.44
"EUR/USD","on_hour",12,17,4.89
"EUR/USD","on_hour",12,18,3.22
"EUR/USD","on_hour",12,19,2.32
"EUR/USD","on_hour",12,20,1.04
"EUR/USD","on_hour",6,14,4.97
"EUR/USD","on_hour",6,15,4.44
"EUR/USD","on_hour",6,16,4.86
"EUR/USD","on_hour",6,17,6.95
"EUR/USD","on_hour",6,18,4.96
"EUR/USD","on_hour",6,19,3.86
"EUR/USD","on_hour",6,20,2.2
"EUR/USD","on_hour",7,14,4.98
"EUR/USD","on_hour",7,15,4.5
"EUR/USD","on_hour",7,16,4.89
"EUR/USD","on_hour",7,17,7.01
"EUR/USD","on_hour",7,18,5.09
"EUR/USD","on_hour",7,19,4.08
"EUR/USD","on_hour",7,20,2.55
"EUR/USD","on_hour",8,14,5.39
"EUR/USD","on_hour",8,15,4.91
"EUR/USD","on_hour",8,16,5.38
"EUR/USD","on_hour",8,17,7.49
"EUR/USD","on_hour",8,18,5.57
"EUR/USD","on_hour",8,19,4.53
"EUR/USD","on_hour",8,20,3.01
"EUR/USD","on_hour",9,14,4.58
"EUR/USD","on_hour",9,15,4.04
"EUR/USD","on_hour",9,16,4.43
"EUR/USD","on_hour",9,17,6.29
"EUR/USD","on_hour",9,18,4.4
"EUR/USD","on_hour",9,19,3.38
"EUR/USD","on_hour",9,20,1.9
"EUR/GBP","on_hour",10,14,3.05
"EUR/GBP","on_hour",10,15,2.84
"EUR/GBP","on_hour",10,16,2.77
"EUR/GBP","on_hour",10,17,5.08
"EUR/GBP","on_hour",10,18,4.1
"EUR/GBP","on_hour",10,19,3.98
"EUR/GBP","on_hour",10,20,4.08
"EUR/GBP","on_hour",11,14,2.71
"EUR/GBP","on_hour",11,15,2.48
"EUR/GBP","on_hour",11,16,2.36
"EUR/GBP","on_hour",11,17,4.35
"EUR/GBP","on_hour",11,18,3.4
"EUR/GBP","on_hour",11,19,3.28
"EUR/GBP","on_hour",11,20,3.29
"EUR/GBP","on_hour",12,14,2.02
"EUR/GBP","on_hour",12,15,1.74
"EUR/GBP","on_hour",12,16,1.58
"EUR/GBP","on_hour",12,17,3.38
"EUR/GBP","on_hour",12,18,2.42
"EUR/GBP","on_hour",12,19,2.3
"EUR/GBP","on_hour",12,20,2.31
"EUR/GBP","on_hour",6,14,1.51
"EUR/GBP","on_hour",6,15,1.16
"EUR/GBP","on_hour",6,16,0.92
"EUR/GBP","on_hour",6,17,3.51
"EUR/GBP","on_hour",6,18,2.28
"EUR/GBP","on_hour",6,19,2.01
"EUR/GBP","on_hour",6,20,2.1
"EUR/GBP","on_hour",7,14,1.58
"EUR/GBP","on_hour",7,15,1.29
"EUR/GBP","on_hour",7,16,1.06
"EUR/GBP","on_hour",7,17,3.6
"EUR/GBP","on_hour",7,18,2.35
"EUR/GBP","on_hour",7,19,2.12
"EUR/GBP","on_hour",7,20,2.19
"EUR/GBP","on_hour",8,14,1.14
"EUR/GBP","on_hour",8,15,0.76
"EUR/GBP","on_hour",8,16,0.46
"EUR/GBP","on_hour",8,17,3
"EUR/GBP","on_hour",8,18,1.61
"EUR/GBP","on_hour",8,19,1.39
"EUR/GBP","on_hour",8,20,1.41
"EUR/GBP","on_hour",9,14,2.74
"EUR/GBP","on_hour",9,15,2.53
"EUR/GBP","on_hour",9,16,2.43
"EUR/GBP","on_hour",9,17,4.99
"EUR/GBP","on_hour",9,18,3.95
"EUR/GBP","on_hour",9,19,3.79
"EUR/GBP","on_hour",9,20,3.99
"EUR/AUD","on_hour",10,14,3.96
"EUR/AUD","on_hour",10,15,3.88
"EUR/AUD","on_hour",10,16,3.17
"EUR/AUD","on_hour",10,17,3.64
"EUR/AUD","on_hour",10,18,3.27
"EUR/AUD","on_hour",10,19,2.94
"EUR/AUD","on_hour",10,20,2.48
"EUR/AUD","on_hour",11,14,3.54
"EUR/AUD","on_hour",11,15,3.43
"EUR/AUD","on_hour",11,16,2.7
"EUR/AUD","on_hour",11,17,3.11
"EUR/AUD","on_hour",11,18,2.73
"EUR/AUD","on_hour",11,19,2.39
"EUR/AUD","on_hour",11,20,1.94
"EUR/AUD","on_hour",12,14,3.53
"EUR/AUD","on_hour",12,15,3.41
"EUR/AUD","on_hour",12,16,2.7
"EUR/AUD","on_hour",12,17,3.12
"EUR/AUD","on_hour",12,18,2.74
"EUR/AUD","on_hour",12,19,2.41
"EUR/AUD","on_hour",12,20,1.94
"EUR/AUD","on_hour",6,14,7.15
"EUR/AUD","on_hour",6,15,7.31
"EUR/AUD","on_hour",6,16,6.66
"EUR/AUD","on_hour",6,17,7.45
"EUR/AUD","on_hour",6,18,7.29
"EUR/AUD","on_hour",6,19,7.05
"EUR/AUD","on_hour",6,20,6.7
"EUR/AUD","on_hour",7,14,6.22
"EUR/AUD","on_hour",7,15,6.31
"EUR/AUD","on_hour",7,16,5.63
"EUR/AUD","on_hour",7,17,6.38
"EUR/AUD","on_hour",7,18,6.17
"EUR/AUD","on_hour",7,19,5.87
"EUR/AUD","on_hour",7,20,5.45
"EUR/AUD","on_hour",8,14,4.41
"EUR/AUD","on_hour",8,15,4.37
"EUR/AUD","on_hour",8,16,3.61
"EUR/AUD","on_hour",8,17,4.2
"EUR/AUD","on_hour",8,18,3.82
"EUR/AUD","on_hour",8,19,3.45
"EUR/AUD","on_hour",8,20,2.92
"EUR/AUD","on_hour",9,14,4.36
"EUR/AUD","on_hour",9,15,4.33
"EUR/AUD","on_hour",9,16,3.61
"EUR/AUD","on_hour",9,17,4.14
"EUR/AUD","on_hour",9,18,3.79
"EUR/AUD","on_hour",9,19,3.45
"EUR/AUD","on_hour",9,20,2.93
"EUR/NZD","on_hour",10,14,2.86
"EUR/NZD","on_hour",10,15,3.1
"EUR/NZD","on_hour",10,16,3.09
"EUR/NZD","on_hour",10,17,3.06
"EUR/NZD","on_hour",10,18,3.8
"EUR/NZD","on_hour",10,19,3.09
"EUR/NZD","on_hour",10,20,2.19
"EUR/NZD","on_hour",11,14,2.39
"EUR/NZD","on_hour",11,15,2.59
"EUR/NZD","on_hour",11,16,2.56
"EUR/NZD","on_hour",11,17,2.49
"EUR/NZD","on_hour",11,18,3.17
"EUR/NZD","on_hour",11,19,2.47
"EUR/NZD","on_hour",11,20,1.62
"EUR/NZD","on_hour",12,14,2.66
"EUR/NZD","on_hour",12,15,2.86
"EUR/NZD","on_hour",12,16,2.85
"EUR/NZD","on_hour",12,17,2.81
"EUR/NZD","on_hour",12,18,3.47
"EUR/NZD","on_hour",12,19,2.79
"EUR/NZD","on_hour",12,20,1.93
"EUR/NZD","on_hour",6,14,7.18
"EUR/NZD","on_hour",6,15,7.71
"EUR/NZD","on_hour",6,16,7.86
"EUR/NZD","on_hour",6,17,8.14
"EUR/NZD","on_hour",6,18,9.27
"EUR/NZD","on_hour",6,19,8.54
"EUR/NZD","on_hour",6,20,7.67
"EUR/NZD","on_hour",7,14,6.35
"EUR/NZD","on_hour",7,15,6.84
