"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,2.66
"EUR/JPY","on_hour",10,15,1.05
"EUR/JPY","on_hour",10,16,3.97
"EUR/JPY","on_hour",10,17,0.33
"EUR/JPY","on_hour",10,18,-2.77
"EUR/JPY","on_hour",10,19,-4.95
"EUR/JPY","on_hour",10,20,-8.28
"EUR/JPY","on_hour",11,14,3.59
"EUR/JPY","on_hour",11,15,1.66
"EUR/JPY","on_hour",11,16,4.73
"EUR/JPY","on_hour",11,17,0.85
"EUR/JPY","on_hour",11,18,-2.41
"EUR/JPY","on_hour",11,19,-4.78
"EUR/JPY","on_hour",11,20,-8.28
"EUR/JPY","on_hour",12,14,-2.26
"EUR/JPY","on_hour",12,15,-3.44
"EUR/JPY","on_hour",12,16,1.16
"EUR/JPY","on_hour",12,17,-2.38
"EUR/JPY","on_hour",12,18,-5.47
"EUR/JPY","on_hour",12,19,-7.78
"EUR/JPY","on_hour",12,20,-10.78
"EUR/JPY","on_hour",6,14,6.56
"EUR/JPY","on_hour",6,15,5.31
"EUR/JPY","on_hour",6,16,7.44
"EUR/JPY","on_hour",6,17,4.12
"EUR/JPY","on_hour",6,18,1.1
"EUR/JPY","on_hour",6,19,-1.02
"EUR/JPY","on_hour",6,20,-5.25
"EUR/JPY","on_hour",7,14,4.89
"EUR/JPY","on_hour",7,15,3.66
"EUR/JPY","on_hour",7,16,5.83
"EUR/JPY","on_hour",7,17,2.64
"EUR/JPY","on_hour",7,18,-0.21
"EUR/JPY","on_hour",7,19,-2.25
"EUR/JPY","on_hour",7,20,-5.97
"EUR/JPY","on_hour",8,14,2.74
"EUR/JPY","on_hour",8,15,1.52
"EUR/JPY","on_hour",8,16,3.91
"EUR/JPY","on_hour",8,17,0.81
"EUR/JPY","on_hour",8,18,-1.92
"EUR/JPY","on_hour",8,19,-3.88
"EUR/JPY","on_hour",8,20,-7.12
"EUR/JPY","on_hour",9,14,1.92
"EUR/JPY","on_hour",9,15,0.61
"EUR/JPY","on_hour",9,16,3.31
"EUR/JPY","on_hour",9,17,0.04
"EUR/JPY","on_hour",9,18,-2.79
"EUR/JPY","on_hour",9,19,-4.81
"EUR/JPY","on_hour",9,20,-8.04
"GBP/JPY","on_hour",10,14,4.39
"GBP/JPY","on_hour",10,15,3.59
"GBP/JPY","on_hour",10,16,0.92
"GBP/JPY","on_hour",10,17,-2.42
"GBP/JPY","on_hour",10,18,-3.46
"GBP/JPY","on_hour",10,19,-1.11
"GBP/JPY","on_hour",10,20,-6.76
"GBP/JPY","on_hour",11,14,6.25
"GBP/JPY","on_hour",11,15,4.89
"GBP/JPY","on_hour",11,16,1.68
"GBP/JPY","on_hour",11,17,-1.79
"GBP/JPY","on_hour",11,18,-2.93
"GBP/JPY","on_hour",11,19,-0.51
"GBP/JPY","on_hour",11,20,-6.44
"GBP/JPY","on_hour",12,14,3.56
"GBP/JPY","on_hour",12,15,2.43
"GBP/JPY","on_hour",12,16,-0.44
"GBP/JPY","on_hour",12,17,-3.49
"GBP/JPY","on_hour",12,18,-4.46
"GBP/JPY","on_hour",12,19,-1.83
"GBP/JPY","on_hour",12,20,-7.63
"GBP/JPY","on_hour",6,14,5.47
"GBP/JPY","on_hour",6,15,4.98
"GBP/JPY","on_hour",6,16,3.17
"GBP/JPY","on_hour",6,17,0.14
"GBP/JPY","on_hour",6,18,-1.02
"GBP/JPY","on_hour",6,19,0.89
"GBP/JPY","on_hour",6,20,-5.23
"GBP/JPY","on_hour",7,14,4.1
"GBP/JPY","on_hour",7,15,3.61
"GBP/JPY","on_hour",7,16,1.65
"GBP/JPY","on_hour",7,17,-1.31
"GBP/JPY","on_hour",7,18,-2.36
"GBP/JPY","on_hour",7,19,-0.35
"GBP/JPY","on_hour",7,20,-5.99
"GBP/JPY","on_hour",8,14,1.67
"GBP/JPY","on_hour",8,15,1.31
"GBP/JPY","on_hour",8,16,-0.46
"GBP/JPY","on_hour",8,17,-3.12
"GBP/JPY","on_hour",8,18,-4.11
"GBP/JPY","on_hour",8,19,-1.99
"GBP/JPY","on_hour",8,20,-7.16
"GBP/JPY","on_hour",9,14,0.93
"GBP/JPY","on_hour",9,15,0.59
"GBP/JPY","on_hour",9,16,-1.21
"GBP/JPY","on_hour",9,17,-3.86
"GBP/JPY","on_hour",9,18,-4.77
"GBP/JPY","on_hour",9,19,-2.52
"GBP/JPY","on_hour",9,20,-7.72
"AUD/JPY","on_hour",10,14,5.42
"AUD/JPY","on_hour",10,15,4.9
"AUD/JPY","on_hour",10,16,5.15
"AUD/JPY","on_hour",10,17,3.46
"AUD/JPY","on_hour",10,18,0.88
"AUD/JPY","on_hour",10,19,0.34
"AUD/JPY","on_hour",10,20,-2.41
"AUD/JPY","on_hour",11,14,8.24
"AUD/JPY","on_hour",11,15,6.71
"AUD/JPY","on_hour",11,16,6.92
"AUD/JPY","on_hour",11,17,4.77
"AUD/JPY","on_hour",11,18,1.93
"AUD/JPY","on_hour",11,19,1.3
"AUD/JPY","on_hour",11,20,-1.81
"AUD/JPY","on_hour",12,14,6.87
"AUD/JPY","on_hour",12,15,5.14
"AUD/JPY","on_hour",12,16,5.33
"AUD/JPY","on_hour",12,17,3.23
"AUD/JPY","on_hour",12,18,0.29
"AUD/JPY","on_hour",12,19,-0.32
"AUD/JPY","on_hour",12,20,-3.31
"AUD/JPY","on_hour",6,14,-0.34
"AUD/JPY","on_hour",6,15,-0.36
"AUD/JPY","on_hour",6,16,0.26
"AUD/JPY","on_hour",6,17,-0.78
"AUD/JPY","on_hour",6,18,-2.74
"AUD/JPY","on_hour",6,19,-3.1
"AUD/JPY","on_hour",6,20,-5.55
"AUD/JPY","on_hour",7,14,1.01
"AUD/JPY","on_hour",7,15,0.95
"AUD/JPY","on_hour",7,16,1.49
"AUD/JPY","on_hour",7,17,0.42
"AUD/JPY","on_hour",7,18,-1.57
"AUD/JPY","on_hour",7,19,-1.95
"AUD/JPY","on_hour",7,20,-4.24
"AUD/JPY","on_hour",8,14,1.67
"AUD/JPY","on_hour",8,15,1.52
"AUD/JPY","on_hour",8,16,2
"AUD/JPY","on_hour",8,17,0.83
"AUD/JPY","on_hour",8,18,-1.19
"AUD/JPY","on_hour",8,19,-1.66
"AUD/JPY","on_hour",8,20,-3.85
"AUD/JPY","on_hour",9,14,1.18
"AUD/JPY","on_hour",9,15,1.05
"AUD/JPY","on_hour",9,16,1.64
"AUD/JPY","on_hour",9,17,0.35
"AUD/JPY","on_hour",9,18,-1.82
"AUD/JPY","on_hour",9,19,-2.32
"AUD/JPY","on_hour",9,20,-4.52
"NZD/JPY","on_hour",10,14,3.18
"NZD/JPY","on_hour",10,15,3.36
"NZD/JPY","on_hour",10,16,5.8
"NZD/JPY","on_hour",10,17,4.32
"NZD/JPY","on_hour",10,18,1.47
"NZD/JPY","on_hour",10,19,0.38
"NZD/JPY","on_hour",10,20,-3.06
"NZD/JPY","on_hour",11,14,6.32
"NZD/JPY","on_hour",11,15,5.84
"NZD/JPY","on_hour",11,16,8.6
"NZD/JPY","on_hour",11,17,6.36
"NZD/JPY","on_hour",11,18,3.03
"NZD/JPY","on_hour",11,19,1.73
"NZD/JPY","on_hour",11,20,-2.28
"NZD/JPY","on_hour",12,14,6.45
"NZD/JPY","on_hour",12,15,5.5
"NZD/JPY","on_hour",12,16,8.16
"NZD/JPY","on_hour",12,17,5.89
"NZD/JPY","on_hour",12,18,2.36
"NZD/JPY","on_hour",12,19,1.03
"NZD/JPY","on_hour",12,20,-3.03
"NZD/JPY","on_hour",6,14,-0.44
"NZD/JPY","on_hour",6,15,-0.14
"NZD/JPY","on_hour",6,16,1.84
"NZD/JPY","on_hour",6,17,1.08
"NZD/JPY","on_hour",6,18,-1
"NZD/JPY","on_hour",6,19,-1.83
"NZD/JPY","on_hour",6,20,-5.01
"NZD/JPY","on_hour",7,14,-0.49
"NZD/JPY","on_hour",7,15,-0.17
"NZD/JPY","on_hour",7,16,1.82
"NZD/JPY","on_hour",7,17,1.05
"NZD/JPY","on_hour",7,18,-1.02
"NZD/JPY","on_hour",7,19,-1.85
"NZD/JPY","on_hour",7,20,-4.8
"NZD/JPY","on_hour",8,14,-1.34
"NZD/JPY","on_hour",8,15,-0.97
"NZD/JPY","on_hour",8,16,1.1
"NZD/JPY","on_hour",8,17,0.28
"NZD/JPY","on_hour",8,18,-1.82
"NZD/JPY","on_hour",8,19,-2.69
"NZD/JPY","on_hour",8,20,-5.39
"NZD/JPY","on_hour",9,14,-0.95
"NZD/JPY","on_hour",9,15,-0.56
"NZD/JPY","on_hour",9,16,1.7
"NZD/JPY","on_hour",9,17,0.76
"NZD/JPY","on_hour",9,18,-1.53
"NZD/JPY","on_hour",9,19,-2.48
"NZD/JPY","on_hour",9,20,-5.3
"USD/JPY","on_hour",10,14,-1.42
"USD/JPY","on_hour",10,15,-1.7
"USD/JPY","on_hour",10,16,0.01
"USD/JPY","on_hour",10,17,-1.05
