"Asset","Algo","StartHour","EndHour","IR"
"EUR/JPY","on_hour",10,14,-2.55
"EUR/JPY","on_hour",10,15,-0.52
"EUR/JPY","on_hour",10,16,-0.34
"EUR/JPY","on_hour",10,17,-0.48
"EUR/JPY","on_hour",10,18,-1.43
"EUR/JPY","on_hour",10,19,-1.52
"EUR/JPY","on_hour",10,20,-3.07
"EUR/JPY","on_hour",11,14,-1.62
"EUR/JPY","on_hour",11,15,0.74
"EUR/JPY","on_hour",11,16,0.79
"EUR/JPY","on_hour",11,17,0.51
"EUR/JPY","on_hour",11,18,-0.63
"EUR/JPY","on_hour",11,19,-0.78
"EUR/JPY","on_hour",11,20,-2.58
"EUR/JPY","on_hour",12,14,-2.95
"EUR/JPY","on_hour",12,15,0.21
"EUR/JPY","on_hour",12,16,0.33
"EUR/JPY","on_hour",12,17,0.09
"EUR/JPY","on_hour",12,18,-1.05
"EUR/JPY","on_hour",12,19,-1.17
"EUR/JPY","on_hour",12,20,-2.94
"EUR/JPY","on_hour",6,14,-1
"EUR/JPY","on_hour",6,15,0.39
"EUR/JPY","on_hour",6,16,0.48
"EUR/JPY","on_hour",6,17,0.3
"EUR/JPY","on_hour",6,18,-0.6
"EUR/JPY","on_hour",6,19,-0.72
"EUR/JPY","on_hour",6,20,-2.55
"EUR/JPY","on_hour",7,14,-2.62
"EUR/JPY","on_hour",7,15,-1.13
"EUR/JPY","on_hour",7,16,-0.95
"EUR/JPY","on_hour",7,17,-1.04
"EUR/JPY","on_hour",7,18,-1.83
"EUR/JPY","on_hour",7,19,-1.87
"EUR/JPY","on_hour",7,20,-3.37
"EUR/JPY","on_hour",8,14,-3.81
"EUR/JPY","on_hour",8,15,-2.1
"EUR/JPY","on_hour",8,16,-1.81
"EUR/JPY","on_hour",8,17,-1.84
"EUR/JPY","on_hour",8,18,-2.6
"EUR/JPY","on_hour",8,19,-2.6
"EUR/JPY","on_hour",8,20,-3.88
"EUR/JPY","on_hour",9,14,-3.58
"EUR/JPY","on_hour",9,15,-1.71
"EUR/JPY","on_hour",9,16,-1.41
"EUR/JPY","on_hour",9,17,-1.45
"EUR/JPY","on_hour",9,18,-2.26
"EUR/JPY","on_hour",9,19,-2.27
"EUR/JPY","on_hour",9,20,-3.65
"GBP/JPY","on_hour",10,14,-3.47
"GBP/JPY","on_hour",10,15,-1.65
"GBP/JPY","on_hour",10,16,-3.05
"GBP/JPY","on_hour",10,17,-2.92
"GBP/JPY","on_hour",10,18,-3.79
"GBP/JPY","on_hour",10,19,-1.61
"GBP/JPY","on_hour",10,20,-3.22
"GBP/JPY","on_hour",11,14,-2.13
"GBP/JPY","on_hour",11,15,0.33
"GBP/JPY","on_hour",11,16,-1.6
"GBP/JPY","on_hour",11,17,-1.55
"GBP/JPY","on_hour",11,18,-2.63
"GBP/JPY","on_hour",11,19,-0.34
"GBP/JPY","on_hour",11,20,-2.34
"GBP/JPY","on_hour",12,14,-1.93
"GBP/JPY","on_hour",12,15,1.13
"GBP/JPY","on_hour",12,16,-1.14
"GBP/JPY","on_hour",12,17,-1.14
"GBP/JPY","on_hour",12,18,-2.28
"GBP/JPY","on_hour",12,19,0.04
"GBP/JPY","on_hour",12,20,-2.14
"GBP/JPY","on_hour",6,14,-2.34
"GBP/JPY","on_hour",6,15,-1.05
"GBP/JPY","on_hour",6,16,-2.22
"GBP/JPY","on_hour",6,17,-2.25
"GBP/JPY","on_hour",6,18,-3.11
"GBP/JPY","on_hour",6,19,-1.25
"GBP/JPY","on_hour",6,20,-3.05
"GBP/JPY","on_hour",7,14,-3.74
"GBP/JPY","on_hour",7,15,-2.47
"GBP/JPY","on_hour",7,16,-3.54
"GBP/JPY","on_hour",7,17,-3.45
"GBP/JPY","on_hour",7,18,-4.22
"GBP/JPY","on_hour",7,19,-2.32
"GBP/JPY","on_hour",7,20,-3.8
"GBP/JPY","on_hour",8,14,-4.94
"GBP/JPY","on_hour",8,15,-3.33
"GBP/JPY","on_hour",8,16,-4.43
"GBP/JPY","on_hour",8,17,-4.18
"GBP/JPY","on_hour",8,18,-4.92
"GBP/JPY","on_hour",8,19,-2.85
"GBP/JPY","on_hour",8,20,-4.2
"GBP/JPY","on_hour",9,14,-4.97
"GBP/JPY","on_hour",9,15,-3.24
"GBP/JPY","on_hour",9,16,-4.39
"GBP/JPY","on_hour",9,17,-4.11
"GBP/JPY","on_hour",9,18,-4.85
"GBP/JPY","on_hour",9,19,-2.7
"GBP/JPY","on_hour",9,20,-4.11
"AUD/JPY","on_hour",10,14,-3.29
"AUD/JPY","on_hour",10,15,-0.47
"AUD/JPY","on_hour",10,16,-0.27
"AUD/JPY","on_hour",10,17,0.09
"AUD/JPY","on_hour",10,18,-0.42
"AUD/JPY","on_hour",10,19,0.07
"AUD/JPY","on_hour",10,20,-0.1
"AUD/JPY","on_hour",11,14,-1.8
"AUD/JPY","on_hour",11,15,1.5
"AUD/JPY","on_hour",11,16,1.52
"AUD/JPY","on_hour",11,17,1.77
"AUD/JPY","on_hour",11,18,1.06
"AUD/JPY","on_hour",11,19,1.53
"AUD/JPY","on_hour",11,20,1.03
"AUD/JPY","on_hour",12,14,0.53
"AUD/JPY","on_hour",12,15,4.04
"AUD/JPY","on_hour",12,16,3.61
"AUD/JPY","on_hour",12,17,3.59
"AUD/JPY","on_hour",12,18,2.64
"AUD/JPY","on_hour",12,19,3.05
"AUD/JPY","on_hour",12,20,2.18
"AUD/JPY","on_hour",6,14,-3.39
"AUD/JPY","on_hour",6,15,-1.29
"AUD/JPY","on_hour",6,16,-1.09
"AUD/JPY","on_hour",6,17,-0.77
"AUD/JPY","on_hour",6,18,-1.17
"AUD/JPY","on_hour",6,19,-0.7
"AUD/JPY","on_hour",6,20,-0.83
"AUD/JPY","on_hour",7,14,-3.41
"AUD/JPY","on_hour",7,15,-1.32
"AUD/JPY","on_hour",7,16,-1.12
"AUD/JPY","on_hour",7,17,-0.81
"AUD/JPY","on_hour",7,18,-1.2
"AUD/JPY","on_hour",7,19,-0.74
"AUD/JPY","on_hour",7,20,-0.84
"AUD/JPY","on_hour",8,14,-3.81
"AUD/JPY","on_hour",8,15,-1.57
"AUD/JPY","on_hour",8,16,-1.34
"AUD/JPY","on_hour",8,17,-1
"AUD/JPY","on_hour",8,18,-1.39
"AUD/JPY","on_hour",8,19,-0.92
"AUD/JPY","on_hour",8,20,-0.96
"AUD/JPY","on_hour",9,14,-4.45
"AUD/JPY","on_hour",9,15,-1.94
"AUD/JPY","on_hour",9,16,-1.66
"AUD/JPY","on_hour",9,17,-1.26
"AUD/JPY","on_hour",9,18,-1.66
"AUD/JPY","on_hour",9,19,-1.14
"AUD/JPY","on_hour",9,20,-1.14
"NZD/JPY","on_hour",10,14,-2.85
"NZD/JPY","on_hour",10,15,0.73
"NZD/JPY","on_hour",10,16,1.94
"NZD/JPY","on_hour",10,17,1.58
"NZD/JPY","on_hour",10,18,1.07
"NZD/JPY","on_hour",10,19,1.37
"NZD/JPY","on_hour",10,20,0.65
"NZD/JPY","on_hour",11,14,-0.88
"NZD/JPY","on_hour",11,15,3.29
"NZD/JPY","on_hour",11,16,4.43
"NZD/JPY","on_hour",11,17,3.71
"NZD/JPY","on_hour",11,18,2.92
"NZD/JPY","on_hour",11,19,3.15
"NZD/JPY","on_hour",11,20,1.98
"NZD/JPY","on_hour",12,14,1.16
"NZD/JPY","on_hour",12,15,5.64
"NZD/JPY","on_hour",12,16,6.41
"NZD/JPY","on_hour",12,17,5.29
"NZD/JPY","on_hour",12,18,4.26
"NZD/JPY","on_hour",12,19,4.43
"NZD/JPY","on_hour",12,20,2.91
"NZD/JPY","on_hour",6,14,-3.85
"NZD/JPY","on_hour",6,15,-1.2
"NZD/JPY","on_hour",6,16,-0.15
"NZD/JPY","on_hour",6,17,-0.28
"NZD/JPY","on_hour",6,18,-0.65
"NZD/JPY","on_hour",6,19,-0.31
"NZD/JPY","on_hour",6,20,-0.77
"NZD/JPY","on_hour",7,14,-4.32
"NZD/JPY","on_hour",7,15,-1.58
"NZD/JPY","on_hour",7,16,-0.48
"NZD/JPY","on_hour",7,17,-0.6
"NZD/JPY","on_hour",7,18,-0.97
"NZD/JPY","on_hour",7,19,-0.62
"NZD/JPY","on_hour",7,20,-1.01
"NZD/JPY","on_hour",8,14,-4.92
"NZD/JPY","on_hour",8,15,-1.94
"NZD/JPY","on_hour",8,16,-0.75
"NZD/JPY","on_hour",8,17,-0.85
"NZD/JPY","on_hour",8,18,-1.22
"NZD/JPY","on_hour",8,19,-0.86
"NZD/JPY","on_hour",8,20,-1.19
"NZD/JPY","on_hour",9,14,-5.49
"NZD/JPY","on_hour",9,15,-2.21
"NZD/JPY","on_hour",9,16,-0.9
"NZD/JPY","on_hour",9,17,-1.02
"NZD/JPY","on_hour",9,18,-1.34
"NZD/JPY","on_hour",9,19,-0.94
"NZD/JPY","on_hour",9,20,-1.26
"USD/JPY","on_hour",10,14,-7.51
"USD/JPY","on_hour",10,15,-6.2
"USD/JPY","on_hour",10,16,-4.57
"USD/JPY","on_hour",10,17,-4.86
"USD/JPY","on_hour",10,18,-4.94
"USD/JPY","on_hour",10,19,-3.95
"USD/JPY","on_hour",10,20,-2.68
"USD/JPY","on_hour",11,14,-3.73
"USD/JPY","on_hour",11,15,-2.43
"USD/JPY","on_hour",11,16,-0.91
"USD/JPY","on_hour",11,17,-1.53
"USD/JPY","on_hour",11,18,-1.85
"USD/JPY","on_hour",11,19,-0.93
"USD/JPY","on_hour",11,20,-0.29
"USD/JPY","on_hour",12,14,-0.75
"USD/JPY","on_hour",12,15,0.3
"USD/JPY","on_hour",12,16,1.6
"USD/JPY","on_hour",12,17,0.65
"USD/JPY","on_hour",12,18,0.11
"USD/JPY","on_hour",12,19,0.98
"USD/JPY","on_hour",12,20,1.15
"USD/JPY","on_hour",6,14,-4.61
"USD/JPY","on_hour",6,15,-3.92
"USD/JPY","on_hour",6,16,-2.86
"USD/JPY","on_hour",6,17,-3.26
"USD/JPY","on_hour",6,18,-3.48
"USD/JPY","on_hour",6,19,-2.69
"USD/JPY","on_hour",6,20,-2
"USD/JPY","on_hour",7,14,-5.93
"USD/JPY","on_hour",7,15,-5.15
"USD/JPY","on_hour",7,16,-4.02
"USD/JPY","on_hour",7,17,-4.37
"USD/JPY","on_hour",7,18,-4.53
"USD/JPY","on_hour",7,19,-3.72
"USD/JPY","on_hour",7,20,-2.77
"USD/JPY","on_hour",8,14,-6.64
"USD/JPY","on_hour",8,15,-5.73
"USD/JPY","on_hour",8,16,-4.47
"USD/JPY","on_hour",8,17,-4.79
"USD/JPY","on_hour",8,18,-4.93
"USD/JPY","on_hour",8,19,-4.08
"USD/JPY","on_hour",8,20,-2.94
"USD/JPY","on_hour",9,14,-7.38
"USD/JPY","on_hour",9,15,-6.27
"USD/JPY","on_hour",9,16,-4.84
"USD/JPY","on_hour",9,17,-5.12
"USD/JPY","on_hour",9,18,-5.21
"USD/JPY","on_hour",9,19,-4.29
"USD/JPY","on_hour",9,20,-3.04
"CAD/JPY","on_hour",10,14,-4.41
"CAD/JPY","on_hour",10,15,-2.22
"CAD/JPY","on_hour",10,16,-0.69
"CAD/JPY","on_hour",10,17,-2.23
"CAD/JPY","on_hour",10,18,-2.38
"CAD/JPY","on_hour",10,19,-0.79
"CAD/JPY","on_hour",10,20,-1.43
"CAD/JPY","on_hour",11,14,-2.73
"CAD/JPY","on_hour",11,15,-0.2
"CAD/JPY","on_hour",11,16,1.34
"CAD/JPY","on_hour",11,17,-0.6
"CAD/JPY","on_hour",11,18,-0.9
"CAD/JPY","on_hour",11,19,0.71
"CAD/JPY","on_hour",11,20,-0.36
"CAD/JPY","on_hour",12,14,-0.64
"CAD/JPY","on_hour",12,15,1.95
"CAD/JPY","on_hour",12,16,3.23
"CAD/JPY","on_hour",12,17,0.89
"CAD/JPY","on_hour",12,18,0.42
"CAD/JPY","on_hour",12,19,2.02
"CAD/JPY","on_hour",12,20,0.52
"CAD/JPY","on_hour",6,14,-2.65
"CAD/JPY","on_hour",6,15,-1.14
"CAD/JPY","on_hour",6,16,-0.02
"CAD/JPY","on_hour",6,17,-1.36
"CAD/JPY","on_hour",6,18,-1.58
"CAD/JPY","on_hour",6,19,-0.21
"CAD/JPY","on_hour",6,20,-1.06
"CAD/JPY","on_hour",7,14,-3.96
