"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,4.34
"EUR/USD","on_hour",10,15,3.97
"EUR/USD","on_hour",10,16,3.63
"EUR/USD","on_hour",10,17,1.54
"EUR/USD","on_hour",10,18,1.38
"EUR/USD","on_hour",10,19,0.14
"EUR/USD","on_hour",10,20,-0.8
"EUR/USD","on_hour",11,14,5.28
"EUR/USD","on_hour",11,15,4.77
"EUR/USD","on_hour",11,16,4.26
"EUR/USD","on_hour",11,17,1.8
"EUR/USD","on_hour",11,18,1.61
"EUR/USD","on_hour",11,19,0.17
"EUR/USD","on_hour",11,20,-0.91
"EUR/USD","on_hour",12,14,2.68
"EUR/USD","on_hour",12,15,2.18
"EUR/USD","on_hour",12,16,1.67
"EUR/USD","on_hour",12,17,-1.1
"EUR/USD","on_hour",12,18,-1.4
"EUR/USD","on_hour",12,19,-2.88
"EUR/USD","on_hour",12,20,-3.96
"EUR/USD","on_hour",6,14,-2.34
"EUR/USD","on_hour",6,15,-2.43
"EUR/USD","on_hour",6,16,-2.57
"EUR/USD","on_hour",6,17,-3.84
"EUR/USD","on_hour",6,18,-4.03
"EUR/USD","on_hour",6,19,-4.77
"EUR/USD","on_hour",6,20,-5.43
"EUR/USD","on_hour",7,14,-0.33
"EUR/USD","on_hour",7,15,-0.47
"EUR/USD","on_hour",7,16,-0.64
"EUR/USD","on_hour",7,17,-2.01
"EUR/USD","on_hour",7,18,-2.17
"EUR/USD","on_hour",7,19,-2.96
"EUR/USD","on_hour",7,20,-3.64
"EUR/USD","on_hour",8,14,0.06
"EUR/USD","on_hour",8,15,-0.1
"EUR/USD","on_hour",8,16,-0.29
"EUR/USD","on_hour",8,17,-1.76
"EUR/USD","on_hour",8,18,-1.93
"EUR/USD","on_hour",8,19,-2.78
"EUR/USD","on_hour",8,20,-3.49
"EUR/USD","on_hour",9,14,2.22
"EUR/USD","on_hour",9,15,1.99
"EUR/USD","on_hour",9,16,1.73
"EUR/USD","on_hour",9,17,-0.02
"EUR/USD","on_hour",9,18,-0.19
"EUR/USD","on_hour",9,19,-1.2
"EUR/USD","on_hour",9,20,-1.99
"GBP/USD","on_hour",10,14,8.44
"GBP/USD","on_hour",10,15,9.55
"GBP/USD","on_hour",10,16,9.7
"GBP/USD","on_hour",10,17,7.19
"GBP/USD","on_hour",10,18,7.26
"GBP/USD","on_hour",10,19,6.36
"GBP/USD","on_hour",10,20,4.96
"GBP/USD","on_hour",11,14,5.68
"GBP/USD","on_hour",11,15,7.05
"GBP/USD","on_hour",11,16,7.06
"GBP/USD","on_hour",11,17,3.97
"GBP/USD","on_hour",11,18,3.91
