"Asset","Algo","StartHour","EndHour","IR"
"EUR/USD","on_hour",10,14,3.47
"EUR/USD","on_hour",10,15,1.36
"EUR/USD","on_hour",10,16,1.9
"EUR/USD","on_hour",10,17,1.55
"EUR/USD","on_hour",10,18,-0.18
"EUR/USD","on_hour",10,19,-0.57
"EUR/USD","on_hour",10,20,-2.13
"EUR/USD","on_hour",11,14,6.38
"EUR/USD","on_hour",11,15,3.4
"EUR/USD","on_hour",11,16,3.92
"EUR/USD","on_hour",11,17,3.48
"EUR/USD","on_hour",11,18,1.42
"EUR/USD","on_hour",11,19,0.96
"EUR/USD","on_hour",11,20,-0.94
"EUR/USD","on_hour",12,14,4.11
"EUR/USD","on_hour",12,15,0.66
"EUR/USD","on_hour",12,16,1.46
"EUR/USD","on_hour",12,17,0.98
"EUR/USD","on_hour",12,18,-1.39
"EUR/USD","on_hour",12,19,-1.94
"EUR/USD","on_hour",12,20,-3.96
"EUR/USD","on_hour",6,14,-3.39
"EUR/USD","on_hour",6,15,-4.47
"EUR/USD","on_hour",6,16,-3.95
"EUR/USD","on_hour",6,17,-4.14
"EUR/USD","on_hour",6,18,-5.32
"EUR/USD","on_hour",6,19,-5.65
"EUR/USD","on_hour",6,20,-6.67
"EUR/USD","on_hour",7,14,0.26
"EUR/USD","on_hour",7,15,-1.09
"EUR/USD","on_hour",7,16,-0.62
"EUR/USD","on_hour",7,17,-0.86
"EUR/USD","on_hour",7,18,-2.14
"EUR/USD","on_hour",7,19,-2.45
"EUR/USD","on_hour",7,20,-3.61
"EUR/USD","on_hour",8,14,1.08
"EUR/USD","on_hour",8,15,-0.4
"EUR/USD","on_hour",8,16,0.08
"EUR/USD","on_hour",8,17,-0.18
"EUR/USD","on_hour",8,18,-1.53
"EUR/USD","on_hour",8,19,-1.85
"EUR/USD","on_hour",8,20,-3.07
"EUR/USD","on_hour",9,14,0.44
"EUR/USD","on_hour",9,15,-1.2
"EUR/USD","on_hour",9,16,-0.63
"EUR/USD","on_hour",9,17,-0.92
"EUR/USD","on_hour",9,18,-2.44
"EUR/USD","on_hour",9,19,-2.78
"EUR/USD","on_hour",9,20,-4.07
"GBP/USD","on_hour",10,14,7.79
"GBP/USD","on_hour",10,15,8.44
"GBP/USD","on_hour",10,16,9.82
"GBP/USD","on_hour",10,17,8.62
"GBP/USD","on_hour",10,18,7.6
"GBP/USD","on_hour",10,19,7.37
"GBP/USD","on_hour",10,20,5.17
"GBP/USD","on_hour",11,14,5.18
"GBP/USD","on_hour",11,15,6.02
"GBP/USD","on_hour",11,16,7.63
"GBP/USD","on_hour",11,17,6.12
"GBP/USD","on_hour",11,18,4.89
"GBP/USD","on_hour",11,19,4.61
"GBP/USD","on_hour",11,20,2.12
"GBP/USD","on_hour",12,14,0.86
"GBP/USD","on_hour",12,15,2.6
"GBP/USD","on_hour",12,16,4.7
"GBP/USD","on_hour",12,17,2.82
"GBP/USD","on_hour",12,18,1.4
"GBP/USD","on_hour",12,19,0.97
"GBP/USD","on_hour",12,20,-1.67
"GBP/USD","on_hour",6,14,4.38
"GBP/USD","on_hour",6,15,5.03
"GBP/USD","on_hour",6,16,6.07
"GBP/USD","on_hour",6,17,5.18
"GBP/USD","on_hour",6,18,4.48
"GBP/USD","on_hour",6,19,4.32
"GBP/USD","on_hour",6,20,2.85
"GBP/USD","on_hour",7,14,4.51
